measure,beat,hex,beat_r,hex_r,radius,speed,angle,
1,,,,,0,0,,0
61,,,,,0,0,,0
76,,,,,0,0,,0
77,,,,,1,225,,112.5
,,,,1,0,0,,0
,,,,3,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,200,,100
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
78,,,,,1,200,,100
,,,,1,0,0,,0
79,,,,,1,225,,112.5
,,,,1,0,0,,0
,,,,3,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,200,,100
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
80,,,,,1,200,,100
,,,,1,0,0,,0
81,,,,,1,225,,112.5
,,,,1,0,0,,0
,,,,3,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,200,,100
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
82,,,,,1,200,,100
,,,,1,0,0,,0
83,,,,,1,225,,112.5
,,,,1,0,0,,0
,,,,3,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,200,,100
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
84,,,,,1,200,,100
,,,,1,0,0,,0
200,,,,,1,0,,0
